title_english,title_alutiiq,credit,audio,video,script,script_english_words,script_alutiiq_words,traditional,notes
Louse,Neresta,Larry Matfay,songs/09+Neresta.mp3,https://vimeo.com/109844215,,"The louse whisked himself.
He whisked himself long and hard.
The baby louse splashed water on the rocks
and the louse laughed to his little self.
The louse whisked himself.
He whisked himself long and hard.
The baby louse splashed water on the rocks
and the louse laughed to his little self.","Neresta taarimallria.
Taarirpaguarluni.
Ingqim yaamat ciqiluki.
Neresta englaruarluni.
Neresta taarimallria.
Taarirpaguarluni.
Ingqim yaamat ciqiluki.
Neresta englaruarluni.",TRUE," This is a traditional song that tells a silly story of lice washing in the banya! The song translates to: The louse whisked himself, he whisked himself long and hard. The baby louse splashed water on the rocks and the louse laughed to his little self. This song was taught to us by our late chief and elder Larry Matfay. "
The Wise Men,Puqisqat,Jeff Leer,songs/pukiskat.mp3,,songs_text/Puqisqat.pdf,,,TRUE,
These Schooners,Ukut Skuunat,"Mary Peterson, Jennie Zeeder",http://www.alutiiqlanguage.org/files/lessons/Songs/UkutSkuunat.mp3,,http://www.alutiiqlanguage.org/files/lessons/Songs/Ukut%20Skuunat.pdf,"These schooners are making me cry, 
because of my boyfriend. 
What am I going to do afterwards 
they are taking my boyfriend 
away (by boat).","Ukut skuunat gui qiagkwaraatnga 
tan'uraruaqa piteklluku. 
Qa'i-cin kinguatni 
piciqsaanga tan'uraruaqa 
aiwilluku. ",TRUE,"Original song 'These Schooners' remembered and taught courtesy of Mary Peterson and Jennie Zeeder of Akhiok. Transcription by April Laktonen Counceller, Florence Pestrikoff and Nick Alokli, courtesy of the Alutiiq Museum. Generations CD Tracks 1 and 25. Choreographed at Kodiak Alutiiq Week 2015. "
Bashful Eyes,Qikitat Iingalat,Irene Coyle,http://www.alutiiqlanguage.org/files/lessons/Songs/Qikitaq.mp3,,http://www.alutiiqlanguage.org/files/lessons/Songs/Qikitaq.pdf,"I am here. I am here. Bashful. Bashful.
Over there. Over there. Bashful. Bashful.
Over there, also. 
All of us. All of us.
Bashful. Bashful. Eyes. Eyes.","Gui gwani. Gui gwani. Qikitaq. Qikitaq.
Gui gwani. Gui gwani. Qikitaq. Qikitaq.
Ikani, cali.
Guangkuta. Guangkuta.
Qikitaq. Qikitaq. Iingalak. Iingalak.",TRUE,"This song is about being bashful. The song says I am bashful, the ones of there are bashful, everyone has bashful, bashful eyes. This song was written by our elder Irene Coyle. "
Tonight,Unuku,Larry Matfay,http://www.alutiiqlanguage.org/files/lessons/Songs/UnukuPractice&Song.mp3,https://vimeo.com/109849485,http://www.alutiiqlanguage.org/files/lessons/Songs/Unuku-Tonight.pdf,"Tonight, tonight I will come.
Bring a little tea with me.
If doggies, doggies bark at me.
Don't you think I'm the boogie man! ","Unuku, unuku taiciqua.
Caayungcugmek tailluanga.
Piugtet, Piugtet qilukaatnga.
Aulaq aulaq pin'illtkicaa!",TRUE,"This song was given to us by our late chief and elder Larry Matfay. This song is an old Alutiiq Song that we sing in Alutiiq, English and Russian. The Russian Version was taught by Duty Wolkoff. "
Alphabet Song,Aapit Atuun,"Kathy Nelson, John 'JP' Pestrikoff",http://www.alutiiqlanguage.org/files/lessons/Songs/Aapit%20Atuun.mp3,https://vimeo.com/109754342,http://www.alutiiqlanguage.org/files/lessons/Songs/AapitAtuun.pdf,,,FALSE,This is an old courting song a man would sing to Martha as he was trying to win over. 
Alutiiq Ice Cream,Akutaq,Phyllis Peterson,,https://www.youtube.com/watch?v=-sna3smPkHw&feature=youtu.be,,"Mom and Dad
made akutaq in a dish
Then Kuukuwak (baby) came in
And ate up all the akutaq
Mom and dad then
and they had to just lick the dish!","Maamankuk taata-llu 
alutakun akullutek 
Kuukuwak tailuni  
akutallraq piturluku! 
Maamankuk taata-llu 
Kingullrani alutalleq alungluku",FALSE,"This song was taught by Larry Matfay. It is an old Alutiiq Song that tells the story of a family making Akutaq. The story goes that the mother and father were stirring the akutaq in a bowl then the baby of the family came in, ate up all the akutaq and mom and dad only got to lick the bowl! "
Alaska Flag Song,Alas'kaam Flagaa,"April Laktonen Counceller, Florence Pestrikoff, Nick Alokli, Susan Malutin",http://www.alutiiqlanguage.org/files/lessons/Songs/Alas'kaamFlagaa.mp3,https://vimeo.com/114371820,http://www.alutiiqlanguage.org/files/lessons/Songs/Alas'kaamFlagaa.pdf,,,FALSE,
Whaler Song,Arwam Atuutii,Loren Anderson,http://www.alutiiqlanguage.org/files/Songs/18%20WhalerDANCERSCD.mp3,https://vimeo.com/109754343,http://www.alutiiqlanguage.org/files/Songs/Arwam%20Atuutii.pdf,"
",,FALSE,
Bucking the Waves,Asgurluta,,,https://vimeo.com/109754344,http://www.alutiiqlanguage.org/files/Songs/Asgurluta.pdf,"We are bucking the waves. 
I am remembering, I am remembering. 
We are bucking the waves. 
I am remembering, I am remembering. 
In our seine 
bucking the waves 
ah-ha-ha, ah-ha-ha 
the whale surfaced. 
(killer whale, sea lion, seal) ","Asgurluta ah-ha-ha. 
Umiaqaqa, umiaqaqa. 
Asgurluta ah-ha-ha. 
Umiaqaqa, umiaqaqa. 
Kugyasirtanemni. 
Asgurluta ag'ngamta 
ah-ha-ha, ah-ha-ha 
ar'uq suart'llria. 
(arlluk, wiinaq, isuwiq) 
(replace repeat) ",FALSE,"Lena Amason Berns wrote this song with the help of Papa George Inga and Paul Kahutak, and Stella Krumry of Old Harbor. A fisherman had gone salmon seining and came back with this story.  It was windy! Bucking the waves all day! Not much fish! But I saw a whale surface, a sealion, a killer whale, and a seal!  So I took that little story to Papa George Inga and abolik Kahutak, to find the fishing words in Alutiiq Stephen Blanchette helped us come up with the motions."
Happy and You Know it,Atgurt'skut,Peter Squartsoff,http://www.alutiiqlanguage.org/files/Songs/Happy%20and%20you%20know%20it.mp3,,http://www.alutiiqlanguage.org/files/Songs/Happy%20and%20you%20know%20it.pdf,,,FALSE,
Good Morning,Cama'i Unuarpak,Teri Schneider,http://www.alutiiqlanguage.org/files/lessons/Songs/Camai%20Unuarpak.mp3,,http://www.alutiiqlanguage.org/files/lessons/Songs/Cama'i%20Unuarpak.pdf,,,FALSE,
Thank You,Quyanaa,Academy of Alutiiq Elders,,,http://www.alutiiqlanguage.org/files/Songs/Quyanaa.pdf,"Thank you, thank you.
Thank you [that] you all came.
We are happy, we are happy.
We are happy [that] you all came.
[chanting]
We are proudly happy.","Quyanaa, Quyanaa,
Quyanaa, tailuci.
Silugtukut, silugtukut,
Silugtukut tailuci.
Ayangaa, ayangaa, ayangaa
 Silugtukut.",FALSE,
In Kodiak,Sun'ami,Nina Olsen,,,,"In Kodiak, like those who came from a long time ago!
We are dancing we are dancing!
We are singing we are singing!
We are having fun!","Sun'ami cumillat'stun taiyukut.
Agnguarluta, agnguarluta.
Aturluta, aturluta.
Nunaniqsaagluta ",FALSE,
My Drum,Cauyaqa,Loren Anderson,http://www.alutiiqlanguage.org/files/Songs/16%20Cauyaqa.mp3,https://vimeo.com/109754345,http://www.alutiiqlanguage.org/files/lessons/Songs/Cauyaqa%20Gui%20Ikuk'gka%20lyrics.pdf,"My drum.
I found it.
Come [all].
To listen to it.
My dance
I found it.
Let's go!
Come join us.
We did not travel far.
We did not travel.
We found them inside ourselves.
It was always in our hearts.
Our ancestors are happy.","Cauyaqa hey ya hey ya.
Gui ikuk'gka nga hey ya.
Tailuci hey ya hey ya.
Nit'niqlluku nga hey ya.
Agnguaqa hey ya hey ya.
Gui ikuk'gka  nga hey ya.
Kita-ruq! ilag'rutlluta.
Natmen agyagetllianga yaqwanun.
Natmen agunilliakut hey ya hey ya.
Guanguptni ilumpt'ni ikukpet qangiq.
Unguatumni et'llia.
Guanguta cumillallpet silugtut!",FALSE,"This song was written by Loren Anderson. It is a story about a lost drum, and when finding it, realizing that the music had been inside them all along. Featured on the Generations CD by the Alutiiq Museum, Track 19. Loren grew up near Seattle, Washington. In Washington, he had very little exposure to his Sugpiat heritage. When he moved to Alaska, he began working at the Alaska Native Heritage Center, where he learned more about his culture. He also joined an Alutiiq dance group called the Alutiiq Anguyiit or the Alutiiq Warriors. Cauyaqa Gwi Ikuk'gka is the first song Loren wrote, and it's about metaphorically finding his drum. The drum represents his entire Alutiiq heritage, and he had found that his culture has always been within him. "
Happy Birthday,Ernerpak Suucillran,Alutiiq Language Club and the Alutiiq Museum,,,,"Today is your birthday.
Today is your birthday.
I'm happy you were born, (name).
You have a lot of fun, (too)!","Ernerpak suucillran.
Ernerpak suucillran.
Atgurtua suullriaten,
Nunaniqsaakina!",FALSE,Sung to the tune of Happy Birthday
Ugai,Ugai,Sperry Ash,,,,"We are getting up. We are getting up.
Here are many people. Here are many people.
We have to get together as one,
That way we will be strong.
If we stay together as one, helping each other,
that way we will be strong people.
We won't have a hard time.
If we do this we can be happy/proud ourselves.
(chanting, and then stomp 3x)","Ugai. Ugai.
Gua sugpakat. Gua sugpakat.
Katurt'kaukut allringurmen,
tawaten tuknigciqukut.
Ellkumta allringu'uluta, ikayulluta,
Tuknignayartukut sugni.
Kayagyugninaitukut.
Tawatarluta taumi silugnayartukut guangkumt'nek.
m'mm, m'mm
m'mm, m'mm (stomp 3x)",FALSE,"Written and shared by Sperry Ash of Nanwalek. We adapted the song to the Koniag Dialect with Sperry's permission. Ugai is a song about the strength of our people. It says that when we are together, helping each other, we will be stronger and will not have a hard time. "
Kayaking,Qayaq,Nina Olsen,,,,"You all come in your kayaks.
Paddle and paddle (row).
Arrow, arrow.
Arrow, arrow.
Arrow, arrow.
We got it!","Tailuci qayakun.
Anguarluci.
Ruuwaq, ruuwaq.
Ruuwaq, ruuwaq.
Ruuwaq, ruuwaq.
Pitakarpet! ",FALSE,"Come by kayak, paddle and paddle, we will pick up our arrows and go hunting and if we are lucky we will be successful hunters. This song was given by the late elder Nina Olsen. "
Sledding,Lluwarlita,Stella Krumrey,,,,"Come my friends, 
let's all go sledding, let's all go sledding. 
Come my friends, 
let's all go sledding, let's all go sledding.
Beautifully, the snow is falling. 
Beautifully, the snow is falling. 
Enough, let's go, enough!","Tailuci angayumang, 
lluuwarlita, lluuwarlita. 
Tailuci angayumang, 
lluuwarlita, lluuwarlita. 
Cucunarluni, aniuq katagtuq. 
Cucunarluni, aniuq katagtuq. 
Awa'i, aglita, awa'i! ",FALSE,
Spear,Kaputiin,Stephen Blanchett,,,,"Once upon a time a warrior 
his spear would help us. (2x) 
(Chanting) 
When we were doing our daily activity the spear was stolen. 
Although those of us have we will never forget it the spear is our identity. 
We will grab the spear 
and never let it go 
because we are Sugpiaq! ","Aka tamani anguyaghten 
kapu'uu'tiin Ikallyullruakut. 
Aya'aa ha'aya 
Yung'ii nanempteni Kapuun teglegaat. 
Taugwaam guangkuta Nalluygucunaku. 
Kapuun paitaqerput 
guankut tumakiiluat 
pegcunaku Sugpiaruluten!",FALSE,"Song written by Stephen Blanchett and the Alaska Native Heritage Center Dancers of the time. The song retells a story that Lucille Davis would tell about a spear that fought in a battle against the Russians, that hung above the doorway. While they were out gathering, the spear was taken. The spear was remade by Michael Livingston of the Aleutians, and gifted to Lucille and her family, along with this song. "
Snowman Song,Qaninguq,Stella Krumrey,,,,"It's snowing. It's snowing. It's snowing. 
It's snowing. It's snowing. It's snowing. 
Three of them big 
from snow, let's make a ball. 
And then into one, 
put them, make a man. ","Qaninguq. Qaninguq. Qaninguq. 
Qaninguq. Qaninguq. Qaninguq.  
Pingayunek angluki, 
aniumek mayaciilita. (2x) 
Taumi allrilugmen, 
lliiluki, suarliluta. (2x) ",FALSE," This is our snowman song. It is snowing, we will make three large snowballs, stack them to make our snowmen, then put on the eyes, mouth, nose and buttons then kick them down. This song was written by Stella Krumrey. Generations CD Track 2."
Thank You For Coming,Quayanaa Tailuci,Irene Coyle,,,,"Thank you for coming. 
Thank you for coming. 
Alaskans, and strangers. 
On the other side of the Alaskan mountain. 
Thank you very much,for all coming. 
Ah ah, oh oh, We'll see you all. 
Ah ah, oh oh, We'll see you all. 
Ah ah, oh oh, We'll see you all. 
Forgive yourself. ","Quyanaa Tailuci. 
Quyanaa Tailuci. 
Alas'kaarmiut allanertat, cali. 
Alas'kaam ingrim akiani. 
Quyanaarpak, quyanaarpak tailuci. 
Ah ah, oh oh.  Tang'rciqamci. 
Ah ah, oh oh.  Tang'rciqamci. 
Ah ah, oh oh.  Tang'rciqamci. 
PRastiirluten.",FALSE," Original 'Thank you for coming' song by Irene Coyle, featured on the Generations CD "
Hope You Enjoyed,Pingar'ci,Samantha Heglin,,,,"Thank you all for inviting us. 
We hope you enjoyed our performance. 
Our journey with you is coming to an end. 
The Kodiak Alutiiq Dancers 
are thankful to you all 
for coming. ","Quyana nugkikut. 
Pingar'ci. 
Ellpeci-llu caqaiput taqutut. 
Sun'aq Alutiit Agngaursqat 
quyawiklluci 
tailuten. ",FALSE,
Puffin Song,Ugtua,Sperry Ash,,,,"I'm climbing on top of it. I'm hunting for puffins. 
Heading up there, I am climbing. 
I arrive at their dens. 
I'm climbing on top of it. I'm climbing on top of it. 
I'm hunting for puffins. ","Ugtua. Ugtua. Tunngargsurtua. 
Paagut Mayurtua. 
Tekigatanka legtiat. 
Ugtua. Ugtua. 
Tunngargsurtua.",FALSE," Written and shared by Sperry Ash of Nanwalek. Kodiak Alutiiq language adjustments by Alisha Drabek, Susan Malutin, Florence Pestrikoff, Sophie Shephard, Kathryn Chichenoff, and Nick Alokli "
I Suddenly Remember,Umiaqartaqa,April Laktonen Counceller,,,,"Ay-ya, ay-ya, I just remember it. 

Long ago I� 
I was (lived) here, I was (lived) here. 
On the ocean 
fishing. 

These days (now) I 
I am (always) here, I am (always) here 
In my mind 
Fishing. 

Later, my family 
Will be here, will be here  
On the ocean 
They will have fun 

Ya-ha, Ya-ha, Ya-ha-hey! (Chanting)","Ay-ya, ay-ya, umiaqartaqa. X2 

Qangiq Gui� 
Etaallianga, etaallianga 
Imarmi 
Iqallugsurlua. 

(Chorus) 
Nutaan Gui� 
Etartuanga, etaartuanga 
Umiamni  
Iqallugsurlua. 

(Chorus) 
Ilanka Atakuu, 
Etarrciqut, etaarciqut 
Imarmi 
Nunaniqsaagciqut 

(Chorus) 
Ya-ga, Ya-ga, Ya-ga-gai 
",FALSE,"Written by April Laktonen Counceller with help from Nick Alokli, Theresa John, Agatha John Shields, Desiree Cronin-Tallman in 2010. Choreographed by Brandi, Baskofsky, Allison Anderson, and April Laktonen Counceller. Song shares the story of a person who used to go fishing all the time and they now fish in their mind, but someday her family will have fun on the water someday. 
"
Tidal Wave,Qangyusinaq,"Florence Pestrikoff, Kari Sherod, Lena Amason, and Agatha John-Sheilds",,,,"I was sitting, I hear something 
the land here is moving. 
It is getting stronger. 

I was sitting, I hear something 
the land here is moving. 
It is getting stronger. 

I look for my children. 
We climb the mountain. 
The great wave pulls away our houses. 
The land here is moving. 
It is getting stronger. 

My children are all together (as one) 
Being thankful to God. 
The land here is moving. 
It is getting stronger.","Aqum'allianga caqiq niitaqa. 
Aqum'allianga caqiq niitaqa. 
Man'a nuna arulaluni/ aulaluni 
Tuknitmen agluni. Yi-ii-ii-ii-rii. 

(Chorus) 
Aqum'allianga caqiq niitaqa. 
Man'a nuna arulaluni/ aulaluni. 
Tuknitmen agluni. Yi-ii-ii-ii-rii. 

Uswillranka iwa'iluki. 
Mayurluta ingrimen. 
Qangyusinaq unglupet* cayugluki. 
Man'a nuna arulaluni/ aulaluni. 
Tuknitmen agluni. Yi-ii-ii-ii-rii. 

Uswillranka allrilurmi. 
Quyawakilluku Agayun. 
Man'a nuna arulaluni/ aulaluni. 
Tuknitmen agluni. Yi-ii-ii-ii-rii. 
",FALSE,"By Florence Pestrikoff, Kari Sherod, Lena Amason, and Agatha John-Shields with help from Nick Alokli and Dennis Knagin. Inspired by Florence's experience of the 1964 Earthquake and Tidal Wave in Old Harbor. Englupet is the northern word for house, but this song was written from Florence's experience and 'ungluq' is the way she says house. 
"
You Are My Sunshine,Ellpet Macaqa,,,,,"You are my sun(shine), 
My only sun(shine), 
You make me happy when it's overcast. 
You will never know, 
How I love you, 
Don't take my sun(shine) away. 

The day before yesterday, 
when I was sleeping, 
in my dream I was holding you. 
Then I woke up, 
I made a mistake 
I felt sad, then I cried. ","Ellpet macaqa 
Kisiin macaqa, 
Atgurt'starp'nga talumakan, 
Nalluciqan, 
Cestun qunukamken, 
Macaqa tun'illkiu gwamnek. 

Akgua'am yatiini 
qawarngama, 
qawangumni tuumiaq'gkemken. 
Taumi esgarngama, 
Alart'llrumaunga� 
Imasuugllianga, qiawagcaa. 
",FALSE," Translation of You Are My Sunshine. Students at Dig Afognak Language and Music Camp 2014 developed the dance movements to the song. 
"
Four Boats,Staaman Palayat,,,,,"Four boats are swaying.
Sugar, coffee, 
put them in the cupboard. 
They might fall out. 
Sing. 

Four boats are swaying. 
We take off our boots and sit down. 
Sugar, coffee, 
Put them in the cupboard. 
They might fall out. 
Sing.","Staaman palayat arulatai.   X2 
SaagaRaq, kuugiaq, 
Skaapamen lliiluki. 
Katagsuartut. 
Aturluki. 

Staaman palayat arulatai.   X2 
ARapaci yuuluki aqumluci. 
Kuugiaq, saagaRaq, 
skaapamen lliiluki. 
Katagsuartut. 
Aturluki. ",FALSE,"Verse two as sung by Larry Matfay, recording courtesy of the Alutiiq Museum. Transcribed by April Laktonen Counceller with edits by Alisha Drabek and Peter Squartsoff. 
"
Summer,Kiak,,,,,"The sun is getting hot. 
It is summe. 

Summer birds are singing (humming) 
Yellow crown sparrow we hear it (humming) 
The sun is getting hot 
It is summer 

Summer sea birds we see them (humming) 
The bumble bees are coming (humming) 
The sun is getting hot 
It is summer 

Dragon flies are flying (humming) 
Mosquitoes are buzzing (humming) 
The sun is getting hot 
It is summer","Macaq uqnaiyuq X2 
Kiagtuq 

Saqullkanat aturtut hm, hm, hm 
Ikuwitiit niitarpet hm, hm, hm 
Macaq uqnaiyuq X2 
Kiagtuq 

Cuwat tangrapet hm hm hm 
Uuqutiit taiyut hm hm hm 
Macaq uqnaiyuq X2 
Kiagtuq 

Cilrayut tengaurtut hm hm hm 
Mengquilut em'irtut hm hm hm 
Macaq uqnaiyuq X2  
Kiagtuq",FALSE,
Thank You ,Quyanaa,June Pardue,,,,"Thank you all for coming, Alutiiq people. 
Thank you all for coming, visitors. 
Thank you all for coming, Alutiiq people.
Thank you. Thank you. Thank you. 
for coming, for coming, Father. 
for coming, for coming, Son of Man. 
for coming, for coming, Spirit of God. 
Thank you. Thank you. Thank you.","Quyanaa tailuci, Sugpiat. 
Quyanaa tailuci, allanertat. 
Quyanaa tailuci, Sugpiat. 
Quyanaa. Quyanaa. Quyanaa. (2x) 
Tailuten, Tailuten, Taata. 
Tailuten, Tailuten, Awaqutan. (2x) 
Tailuten, Tailuten, Anerneran. 
Quyanaa. Quyanaa. Quyanaa. (2x) ",FALSE,"Original song by June Pardue, with Alutiiq editorial assistance from Florence Pestrikoff. Performed as a welcome dance, welcoming all of the audience members to the performance, inviting everyone to come and watch."