title_english,title_alutiiq,credit,audio,video,script,Traditional(boolean)
Louse,Neresta,Jeff Leer,http://www.alutiiqlanguage.org/files/lessons/Songs/Neresta.mp3,https://vimeo.com/109844215,http://www.alutiiqlanguage.org/files/lessons/Songs/Neresta.pdf,TRUE
The Wise Men,Puqisqat,Jeff Leer,http://www.alutiiqlanguage.org/files/Songs/01%20Puqisqat_Denis_and_Sophie_2011.mp3,,http://www.alutiiqlanguage.org/files/Songs/Puqisqat.pdf,TRUE
These Schooners,Ukut Skuunat,"Mary Peterson, Jennie Zeeder",http://www.alutiiqlanguage.org/files/lessons/Songs/UkutSkuunat.mp3,,http://www.alutiiqlanguage.org/files/lessons/Songs/Ukut%20Skuunat.pdf,TRUE
Bashful Eyes,Qikitat Iingalat,Alisha Drabek,http://www.alutiiqlanguage.org/files/lessons/Songs/Qikitaq.mp3,,http://www.alutiiqlanguage.org/files/lessons/Songs/Qikitaq.pdf,TRUE
Tonight,Unuku,Larry Matfay,http://www.alutiiqlanguage.org/files/lessons/Songs/UnukuPractice&Song.mp3,https://vimeo.com/109849485,http://www.alutiiqlanguage.org/files/lessons/Songs/Unuku-Tonight.pdf,TRUE
Alphabet Song,Aapit Atuun,"Kathy Nelson, John 'JP' Pestrikoff",http://www.alutiiqlanguage.org/files/lessons/Songs/Aapit%20Atuun.mp3,https://vimeo.com/109754342,http://www.alutiiqlanguage.org/files/lessons/Songs/AapitAtuun.pdf,FALSE
Alutiiq Ice Cream,Akutaq,Phyllis Peterson,,https://www.youtube.com/watch?v=-sna3smPkHw&feature=youtu.be,,FALSE
Alaska Flag Song,Alas'kaam Flagaa,"April Laktonen Counceller, Florence Pestrikoff, Nick Alokli, Susan Malutin",http://www.alutiiqlanguage.org/files/lessons/Songs/Alas'kaamFlagaa.mp3,https://vimeo.com/114371820,http://www.alutiiqlanguage.org/files/lessons/Songs/Alas'kaamFlagaa.pdf,FALSE
Whaler Song,Arwam Atuutii,Loren Anderson,http://www.alutiiqlanguage.org/files/Songs/18%20WhalerDANCERSCD.mp3,https://vimeo.com/109754343,http://www.alutiiqlanguage.org/files/Songs/Arwam%20Atuutii.pdf,FALSE
Bucking the Waves,Asgurluta,,,https://vimeo.com/109754344,http://www.alutiiqlanguage.org/files/Songs/Asgurluta.pdf,FALSE
Happy and You Know it,Atgurt'skut,Peter Squartsoff,http://www.alutiiqlanguage.org/files/Songs/Happy%20and%20you%20know%20it.mp3,,http://www.alutiiqlanguage.org/files/Songs/Happy%20and%20you%20know%20it.pdf,FALSE
Good Morning,Cama'i Unuarpak,Teri Schneider,http://www.alutiiqlanguage.org/files/lessons/Songs/Camai%20Unuarpak.mp3,,http://www.alutiiqlanguage.org/files/lessons/Songs/Cama'i%20Unuarpak.pdf,FALSE